Chemical Name,shape,coating,diameter mean,diameter Units,Chemical Purity Mean,surface (m2/g),size mean,Size Units,Dissolution,zp mean,zp Units,Species group,Species Scientific Name,media type,illumination,Endpoint,Duration,Observed Duration Units,Toxicity Conc Mean,Toxicity Conc Units,authors,title,journal,vol,issue,year,id
"Ag","spherical, some more irregular","Sodium citrate (Na3C6H5O7)","5.5","nm"," "," ","70","nm","below detection limit"," ","mV","fish","Oncorhynchus mykiss","cell culture media Leibowitz 15"," ","EC50","48","h","2.5","mg/L","Farkas, Julia; Christian, Paul; Urrea, Julian Alberto Gallego; Roos, Norbert; Hassellov, Martin; Tollefsen, Knut Erik; Thomas, Kevin V.","Effects of silver and gold nanoparticles on rainbow trout (Oncorhynchus mykiss) hepatocytes","AQUATIC TOXICOLOGY","96","1","2010","11"
"Ag"," "," ","100","nm"," "," "," ","nm","3.3% at 1 to 30 mg/L"," ","mV","bacteria","E. coli JI130 (pSLlux) sodA−","1:1 0.9% NaCl:MilliQ water","dark","EC50 ","30","min","331","mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","12"
"Ag"," "," ","100","nm"," "," "," ","nm","3.3% at 1 to 30 mg/L"," ","mV","bacteria","E. coli AB1157 (pSLlux) sod wt","1:1 0.9% NaCl:MilliQ water","dark","EC50 ","2","h","45.9","mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","13"
"Ag","spherical, some more irregular","Sodium citrate (Na3C6H5O7)","5.5","nm"," "," ","70","nm","below detection limit"," ","mV","fish","Oncorhynchus mykiss","cell culture media Leibowitz 15"," ","EC50","48","h","4.9","mg/L","Farkas, Julia; Christian, Paul; Urrea, Julian Alberto Gallego; Roos, Norbert; Hassellov, Martin; Tollefsen, Knut Erik; Thomas, Kevin V.","Effects of silver and gold nanoparticles on rainbow trout (Oncorhynchus mykiss) hepatocytes","AQUATIC TOXICOLOGY","96","1","2010","14"
"Ag"," "," ","100","nm"," "," "," ","nm","3.3% at 1 to 30 mg/L"," ","mV","bacteria","E. coli JI131 (pSLlux) sodB−","1:1 0.9% NaCl:MilliQ water","dark","EC50 ","30","min","485","mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","15"
"Ag","spherical, some more irregular","Sodium citrate (Na3C6H5O7)","5.5","nm"," "," ","92.5","nm","below detection limit"," ","mV","fish","Oncorhynchus mykiss","cell culture media Leibowitz 15 + dissolved organic carbon (10 mg/L of Suwannee River natural organic carbon at 19 mg/L of Ag NPs)"," ","EC50","48","h","2.6","mg/L","Farkas, Julia; Christian, Paul; Urrea, Julian Alberto Gallego; Roos, Norbert; Hassellov, Martin; Tollefsen, Knut Erik; Thomas, Kevin V.","Effects of silver and gold nanoparticles on rainbow trout (Oncorhynchus mykiss) hepatocytes","AQUATIC TOXICOLOGY","96","1","2010","16"
"Ag"," "," ","100","nm"," "," "," ","nm","3.3% at 1 to 30 mg/L"," ","mV","bacteria","E. coli AS391 (pSLlux) sodABC−","1:1 0.9% NaCl:MilliQ water","dark","EC50 ","30","min","5.8","mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","17"
"Ag","spherical, some more irregular","Sodium citrate (Na3C6H5O7)","5.5","nm"," "," ","92.5","nm","below detection limit"," ","mV","fish","Oncorhynchus mykiss","cell culture media Leibowitz 15 + dissolved organic carbon (10 mg/L of Suwannee River natural organic carbon at 19 mg/L of Ag NPs)"," ","EC50","48","h","3.5","mg/L","Farkas, Julia; Christian, Paul; Urrea, Julian Alberto Gallego; Roos, Norbert; Hassellov, Martin; Tollefsen, Knut Erik; Thomas, Kevin V.","Effects of silver and gold nanoparticles on rainbow trout (Oncorhynchus mykiss) hepatocytes","AQUATIC TOXICOLOGY","96","1","2010","18"
"Ag"," "," ","150","nm"," "," ","3411","nm","analysed, value not given","-25.7","mV","crustacean","Daphnia magna","moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)","16-h/8-h light/dark cycle","EC50","24","h","1404.6","µg/L","Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won","Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods","JOURNAL OF HAZARDOUS MATERIALS","227","","2012","19"
"Ag"," "," ","150","nm"," "," ","3411","nm","analysed, value not given","-25.7","mV","crustacean","Daphnia magna","moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)","16-h/8-h light/dark cycle","EC50","24","h","2.7","µg Ag/L","Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won","Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods","JOURNAL OF HAZARDOUS MATERIALS","227","","2012","20"
"Ag"," "," ","150","nm"," "," ","786","nm","analysed, value not given","-28.3","mV","crustacean","Daphnia magna","moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)","16-h/8-h light/dark cycle","EC50","24","h","4.2","µg/L","Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won","Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods","JOURNAL OF HAZARDOUS MATERIALS","227","","2012","21"
"Ag"," "," ","150","nm"," "," ","786","nm","analysed, value not given","-28.3","mV","crustacean","Daphnia magna","moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)","16-h/8-h light/dark cycle","EC50","24","h","3","µg Ag/L","Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won","Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods","JOURNAL OF HAZARDOUS MATERIALS","227","","2012","22"
"Ag","spherical","polyvinylpyrrolidone (PVP)","7  (48% <5, 30% 5-10 )","nm"," "," ","76.4","nm"," ","-39.17","mV","crustacean","Daphnia magna","non-enriched natural seawater (ISO14669:1999), collected from 60 m depth at Solbergstrand, Norway, salinity 34‰","16-h/8-h light/dark cycle","EC50","24","h","30.8","µg/L","Macken, Ailbhe; Byrne, Hugh J.; Thomas, Kevin V.","Effects of salinity on the toxicity of ionic silver and Ag-PVP nanoparticles to Tisbe battagliai and Ceramium tenuicorne","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","86","","2012","23"
"Ag","spherical","polyvinylpyrrolidone (PVP)","7  (48% <5, 30% 5-10 )","nm"," "," ","76.4","nm"," ","-39.17","mV","crustacean","Daphnia magna","non-enriched natural seawater (ISO14669:1999), collected from 60 m depth at Solbergstrand, Norway, salinity 34‰","16-h/8-h light/dark cycle","EC50","48","h","7.9","µg/L","Macken, Ailbhe; Byrne, Hugh J.; Thomas, Kevin V.","Effects of salinity on the toxicity of ionic silver and Ag-PVP nanoparticles to Tisbe battagliai and Ceramium tenuicorne","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","86","","2012","24"
"Ag"," ","4% (w/w) each of polyoxy-ethylene glycerol trioleate and polyoxyethylene sorbitan monolaurate (Tween-20)","15","nm"," "," "," ","nm","0.000001"," ","mV","crustacean","Daphnia magna","625g RefeSol 01A,a loamy, medium-acidic, and lightly humic sand (pH 5.67; Corg 0.93%, sand 71%, silt 24%, clay 5%), 55% WHC(max) 40g cow dung (air dried, ground, and moistened before application)","16-h/8-h light/dark cycle (~700 lux)","EC50","56","days","114.5","mg/kg","Schlich, Karsten; Klawonn, Thorsten; Terytze, Konstantin; Hund-Rinke, Kerstin","Effects of silver nanoparticles and silver nitrate in the earthworm reproduction test","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","32","1","2013","25"
"Ag","spherical"," ","50","nm"," ","7.5","240","nm","~ 1%","-34.75","mV","crustacean","Daphnia magna","Growth medium (202 mg/L KNO3, 50.3 mg/L KH2PO4, 27.8 mg/L K2HPO4, 17.4 mg/L K2SO4, 49.6 mg/L MgSO4*7H2O, 11.1 mg/L CaCl2, 6 mg/L FeSO4*7H2O, 5.72 mg/L H3BO3, 2.82 mg/L MnCl2*4H2O, 0.6 mg/L ZnSO4, 0.043 mg/L (NH4)Mo7O24*4H2O, 0.078 mg/L CuCl2*2H2O, 0.054 mg/L  CoCl2*6H2O. Ionic strength 4.25 10–3), pH 6.5","16-h/8-h light/dark cycle (100 µmol/m2/s, cool white fluorescent lamp Sylvania GRO-LUX F40/GS/WS)","EC50","7","days","9.36"," mg/L","Oukarroum, Abdallah; Barhoumi, Lotfi; Pirastru, Laura; Dewez, David","Silver nanoparticle toxicity effect on growth and cellular viability of the aquatic plant Lemna gibba","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","32","4","2013","26"
"Ag"," ","protein","12.5","nm"," "," ","50.7","nm"," ","-16.1","mV","crustacean","Daphnia magna","river water, conductivity 421 µS/cm, DOC 35 mg C/L, pH 7.45","dark","EC50","48","h","29.8","µg Ag/L","Blinova, Irina; Niskanen, Jukka; Kajankari, Paula; Kanarbik, Liina; Kaekinen, Aleksandr; Tenhu, Heikki; Penttinen, Olli-Pekka; Kahru, Anne","Toxicity of two types of silver nanoparticles to aquatic crustaceans Daphnia magna and Thamnocephalus platyurus","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","20","5","2013","27"
"Ag"," ","protein","12.5","nm"," "," ","50.7","nm"," ","-16.5","mV","crustacean","Daphnia magna","lake water, conductivity 439 µS/cm, DOC 11.8 mg C/L, pH 8.3","dark","EC50","48","h","55.5","µg Ag/L","Blinova, Irina; Niskanen, Jukka; Kajankari, Paula; Kanarbik, Liina; Kaekinen, Aleksandr; Tenhu, Heikki; Penttinen, Olli-Pekka; Kahru, Anne","Toxicity of two types of silver nanoparticles to aquatic crustaceans Daphnia magna and Thamnocephalus platyurus","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","20","5","2013","28"
"Ag"," "," ","100","nm"," "," "," ","nm","3.3% at 1 to 30 mg/L"," ","mV","bacteria","E. coli AB1157 (pSLlux) sod wt","1:1 0.9% NaCl:MilliQ water","dark","EC50 ","30","min","571","mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","29"
"Ag"," ","protein","12.5","nm"," "," ","50.7","nm"," ","-16.5","mV","crustacean","Daphnia magna","lake water, conductivity 143 µS/cm, DOC 22 mg C/L, pH 7.6","dark","EC50","48","h","37.6","µg Ag/L","Blinova, Irina; Niskanen, Jukka; Kajankari, Paula; Kanarbik, Liina; Kaekinen, Aleksandr; Tenhu, Heikki; Penttinen, Olli-Pekka; Kahru, Anne","Toxicity of two types of silver nanoparticles to aquatic crustaceans Daphnia magna and Thamnocephalus platyurus","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","20","5","2013","30"
"Ag"," ","protein","12.5","nm"," "," ","50.7","nm"," ","-16.5","mV","crustacean","Daphnia magna","lake water, conductivity 315 µS/cm, DOC 5.3 mg C/L, pH 7.1","dark","EC50","48","h","48.7","µg Ag/L","Blinova, Irina; Niskanen, Jukka; Kajankari, Paula; Kanarbik, Liina; Kaekinen, Aleksandr; Tenhu, Heikki; Penttinen, Olli-Pekka; Kahru, Anne","Toxicity of two types of silver nanoparticles to aquatic crustaceans Daphnia magna and Thamnocephalus platyurus","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","20","5","2013","31"
"Ag","spherical","PVP","15","nm","silver content 9.7 ± 0.4%"," ","57.6","nm","< 2% in 48 h","-17","mV","crustacean","Daphnia galeata","M4 medium without EDTA","16-h/8-h light/dark cycle","EC50","48","h","13.9","µg Ag/L","Voelker, Carolin; Boedicker, Cathinka; Daubenthaler, Jan; Oetken, Matthias; Oehlmann, Joerg","Comparative Toxicity Assessment of Nanosilver on Three Daphnia Species in Acute, Chronic and Multi-Generation Experiments","PLOS ONE","8","10","2013","32"
"Ag","spherical"," ","20","nm"," "," ","40","nm","0.3"," ","mV","bacteria","Nitrosomonas europaea ATCC 19718","2.5 mM (NH4)2SO4 and 30 mM HEPES buffer (pH 7.8)","dark","EC50","3","h","0.47","ppm","Radniecki, Tyler S.; Stankus, Dylan P.; Neigh, Arianne; Nason, Jeffrey A.; Semprini, Lewis","Influence of liberated silver from silver nanoparticles on nitrification inhibition of Nitrosomonas europaea","CHEMOSPHERE","85","1","2011","33"
"Ag"," ","PVP","8.4","nm"," "," ","141.8","nm"," ","-4.93","mV","crustacean","Daphnia magna","river water, conductivity 421 µS/cm, DOC 35 mg C/L, pH 7.45","dark","EC50","48","h","28.7","µg Ag/L","Blinova, Irina; Niskanen, Jukka; Kajankari, Paula; Kanarbik, Liina; Kaekinen, Aleksandr; Tenhu, Heikki; Penttinen, Olli-Pekka; Kahru, Anne","Toxicity of two types of silver nanoparticles to aquatic crustaceans Daphnia magna and Thamnocephalus platyurus","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","20","5","2013","34"
"Ag"," "," ","100","nm"," "," ","168.9","nm","analysed, value not given","-34.6","mV","crustacean","Daphnia magna","moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)","16-h/8-h light/dark cycle","EC50","24","h","9","µg/L","Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won","Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods","JOURNAL OF HAZARDOUS MATERIALS","227","","2012","35"
"Ag","spherical"," ","80","nm"," "," "," ","nm","0.05"," ","mV","bacteria","Nitrosomonas europaea ATCC 19718","2.5 mM (NH4)2SO4 and 30 mM HEPES buffer (pH 7.8)","dark","EC50","3","h","1.44","ppm","Radniecki, Tyler S.; Stankus, Dylan P.; Neigh, Arianne; Nason, Jeffrey A.; Semprini, Lewis","Influence of liberated silver from silver nanoparticles on nitrification inhibition of Nitrosomonas europaea","CHEMOSPHERE","85","1","2011","36"
"Ag"," ","PVP","8.4","nm"," "," ","105.7","nm"," ","-4.86","mV","crustacean","Daphnia magna","lake water, conductivity 439 µS/cm, DOC 11.8 mg C/L, pH 8.3","dark","EC50","48","h","51.1","µg Ag/L","Blinova, Irina; Niskanen, Jukka; Kajankari, Paula; Kanarbik, Liina; Kaekinen, Aleksandr; Tenhu, Heikki; Penttinen, Olli-Pekka; Kahru, Anne","Toxicity of two types of silver nanoparticles to aquatic crustaceans Daphnia magna and Thamnocephalus platyurus","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","20","5","2013","37"
"Ag"," ","PVP","8.4","nm"," "," ","105.7","nm"," ","-4.86","mV","crustacean","Daphnia magna","lake water, conductivity 143 µS/cm, DOC 22 mg C/L, pH 7.6","dark","EC50","48","h","68.7","µg Ag/L","Blinova, Irina; Niskanen, Jukka; Kajankari, Paula; Kanarbik, Liina; Kaekinen, Aleksandr; Tenhu, Heikki; Penttinen, Olli-Pekka; Kahru, Anne","Toxicity of two types of silver nanoparticles to aquatic crustaceans Daphnia magna and Thamnocephalus platyurus","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","20","5","2013","38"
"Ag","irregular ","proteins","120","nm"," "," "," ","nm"," "," ","mV","crustacean","Daphnia magna","synthetic freshwater (USEPA method EPA-821-R-02-012)","16-h/8-h light/dark cycle","EC50","24","h","127.42","mg/L","Rani, Pathipati Usha; Rajasekharreddy, Pala","Green synthesis of silver-protein (core-shell) nanoparticles using Piper betle L. leaf extract and its ecotoxicological studies on Daphnia magna","COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS","389","1月3日","2011","39"
"Ag"," "," ","100","nm"," "," ","168.9","nm","analysed, value not given","-34.6","mV","crustacean","Daphnia magna","moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)","16-h/8-h light/dark cycle","EC50","24","h","9.6","µg/L","Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won","Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods","JOURNAL OF HAZARDOUS MATERIALS","227","","2012","40"
"Ag"," ","PVP","8.4","nm"," "," ","105.7","nm"," ","-4.86","mV","crustacean","Daphnia magna","lake water, conductivity 315 µS/cm, DOC 5.3 mg C/L, pH 7.1","dark","EC50","48","h","47.2","µg Ag/L","Blinova, Irina; Niskanen, Jukka; Kajankari, Paula; Kanarbik, Liina; Kaekinen, Aleksandr; Tenhu, Heikki; Penttinen, Olli-Pekka; Kahru, Anne","Toxicity of two types of silver nanoparticles to aquatic crustaceans Daphnia magna and Thamnocephalus platyurus","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","20","5","2013","41"
"Ag","irregular ","proteins","120","nm"," "," "," ","nm"," "," ","mV","crustacean","Daphnia magna","synthetic freshwater (USEPA method EPA-821-R-02-012)","16-h/8-h light/dark cycle","EC50","48","h","61.95","mg/L","Rani, Pathipati Usha; Rajasekharreddy, Pala","Green synthesis of silver-protein (core-shell) nanoparticles using Piper betle L. leaf extract and its ecotoxicological studies on Daphnia magna","COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS","389","1月3日","2011","42"
"Ag"," ","dispersant 0.2% Tween 20","20.2","nm"," "," "," ","nm"," "," ","mV","crustacean","Daphnia magna","Evian mineral water containing [in mg/l] Ca: 80; Mg: 26; Na: 6.5; K: 1; Si: 15; CO3: 360; SO4: 12.6; Cl: 6.8 and NO3: 3.7"," ","EC50","24","h","100","mg/L","Lapied, Emmanuel; Moudilou, Elara; Exbrayat, Jean-Marie; Oughton, Deborah Helen; Joner, Erik Jautris","Silver nanoparticle exposure causes apoptotic response in the earthworm Lumbricus terrestris (Oligochaeta)","NANOMEDICINE","5","6","2010","43"
"Ag","spherical","proteins","28","nm"," "," "," ","nm"," "," ","mV","crustacean","Daphnia magna","synthetic freshwater (USEPA method EPA-821-R-02-012)","16-h/8-h light/dark cycle","EC50","24","h","132.97","mg/L","Rani, Pathipati Usha; Rajasekharreddy, Pala","Green synthesis of silver-protein (core-shell) nanoparticles using Piper betle L. leaf extract and its ecotoxicological studies on Daphnia magna","COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS","389","1月3日","2011","44"
"Ag"," "," ","100","nm"," "," ","55","nm","0.154 mg/L"," ","mV","crustacean","Daphnia magna","dechlorinated tap water and acid washed sand, fed with Tetramin fish food flakes","16-h/8-h light/dark cycle","EC50","25","days","1","mg/L","Nair, Prakash M. Gopalakrishnan; Park, Sun Young; Lee, Si-Won; Choi, Jinhee","Differential expression of ribosomal protein gene, gonadotrophin releasing hormone gene and Balbiani ring protein gene in silver nanoparticles exposed Chironomus riparius","AQUATIC TOXICOLOGY","101","1","2011","45"
"Ag","spherical","proteins","28","nm"," "," "," ","nm"," "," ","mV","crustacean","Daphnia magna","synthetic freshwater (USEPA method EPA-821-R-02-012)","16-h/8-h light/dark cycle","EC50","48","h","68.76","mg/L","Rani, Pathipati Usha; Rajasekharreddy, Pala","Green synthesis of silver-protein (core-shell) nanoparticles using Piper betle L. leaf extract and its ecotoxicological studies on Daphnia magna","COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS","389","1月3日","2011","46"
